insert into Registry (id, login, password, first_name, email, position) values (1, 'fbroschke0', 'KHDbLySM4XM', 'Farley', 'fballham0@soup.io', 'Food Chemist');
insert into Registry (id, login, password, first_name, email, position) values (2, 'leyer1', 'EGf9fCgjo96o', 'Lionello', 'lcrosdill1@un.org', 'Legal Assistant');
insert into Registry (id, login, password, first_name, email, position) values (3, 'wcaush2', 'dDuJ7rx', 'Weber', 'wcreak2@state.gov', 'Safety Technician I');
insert into Registry (id, login, password, first_name, email, position) values (4, 'bgiveen3', 'pnxDoFlRO', 'Barth', 'bferran3@omniture.com', 'Paralegal');
insert into Registry (id, login, password, first_name, email, position) values (5, 'gsinnatt4', '5GnqQzIwTD', 'Georgianna', 'gponde4@github.com', 'Dental Hygienist');
insert into Registry (id, login, password, first_name, email, position) values (6, 'htayt5', 'A9nEWf2', 'Hymie', 'hjiggle5@miitbeian.gov.cn', 'Social Worker');
insert into Registry (id, login, password, first_name, email, position) values (7, 'pradford6', 'DwauIC5q', 'Paulie', 'pmessier6@ehow.com', 'Electrical Engineer');
insert into Registry (id, login, password, first_name, email, position) values (8, 'mtoseland7', 'aehyF28j', 'Marji', 'mworswick7@drupal.org', 'VP Accounting');
insert into Registry (id, login, password, first_name, email, position) values (9, 'msendley8', 'BdyYSqVADn', 'Milena', 'mwretham8@stumbleupon.com', 'Assistant Professor');
insert into Registry (id, login, password, first_name, email, position) values (10, 'cubach9', 'wcYrEgP2', 'Candy', 'cgromley9@mapy.cz', 'VP Product Management');
insert into Registry (id, login, password, first_name, email, position) values (11, 'mburneta', 'q4Q7Klb7LdXv', 'Meaghan', 'martricka@netvibes.com', 'Human Resources Manager');
insert into Registry (id, login, password, first_name, email, position) values (12, 'dspinellab', 'W4On4JcOV', 'Damien', 'dwoodfinb@icio.us', 'Occupational Therapist');
insert into Registry (id, login, password, first_name, email, position) values (13, 'dkuhlc', 'PMyFeVxIOm4A', 'Dena', 'dvincec@github.io', 'Analyst Programmer');
insert into Registry (id, login, password, first_name, email, position) values (14, 'rroblind', 'Y1wCom7', 'Robby', 'rfotherbyd@usnews.com', 'Analyst Programmer');
insert into Registry (id, login, password, first_name, email, position) values (15, 'ahannigane', 'JlSKMCv', 'Ali', 'aathertone@usatoday.com', 'VP Quality Control');
insert into Registry (id, login, password, first_name, email, position) values (16, 'bambrodif', 'LoaNHkuzX', 'Brander', 'bmackintoshf@tinypic.com', 'Junior Executive');
insert into Registry (id, login, password, first_name, email, position) values (17, 'credsallg', '9PkNH29fk', 'Conni', 'ccommanderg@redcross.org', 'Budget/Accounting Analyst III');
insert into Registry (id, login, password, first_name, email, position) values (18, 'jbrunkeh', '3eYe6Oq', 'Jyoti', 'jflippellih@nps.gov', 'Assistant Manager');
insert into Registry (id, login, password, first_name, email, position) values (19, 'nrouthami', 'zrJDTf', 'Northrop', 'nriccioppoi@japanpost.jp', 'GIS Technical Architect');
insert into Registry (id, login, password, first_name, email, position) values (20, 'chiomj', 'XM5uCHl1RWRP', 'Cazzie', 'cdaddowj@latimes.com', 'Help Desk Operator');
insert into Registry (id, login, password, first_name, email, position) values (21, 'sisacssonk', 'UHb61hkZf', 'Spence', 'sverrickk@dmoz.org', 'Legal Assistant');
insert into Registry (id, login, password, first_name, email, position) values (22, 'hcaustonl', 'c1RuR4Og', 'Hanni', 'hstormesl@webeden.co.uk', 'Paralegal');
insert into Registry (id, login, password, first_name, email, position) values (23, 'ccargom', 'NlmnTvksEac', 'Charlene', 'callamm@google.com.au', 'Business Systems Development Analyst');
insert into Registry (id, login, password, first_name, email, position) values (24, 'twilbern', 'AnYk5Y4sECb', 'Tani', 'tchaffn@timesonline.co.uk', 'Research Nurse');
insert into Registry (id, login, password, first_name, email, position) values (25, 'gsindersono', '0PoPCCUa', 'Goober', 'gleinwebero@examiner.com', 'Nuclear Power Engineer');
insert into Registry (id, login, password, first_name, email, position) values (26, 'bmarjanovicp', 'wp8P9Z19PLS', 'Beale', 'bdyp@salon.com', 'Clinical Specialist');
insert into Registry (id, login, password, first_name, email, position) values (27, 'pfussellq', 'xM0XNqUwKwOr', 'Powell', 'pspilemanq@etsy.com', 'Human Resources Manager');
insert into Registry (id, login, password, first_name, email, position) values (28, 'acrippillr', 'hsmTE1', 'Ardra', 'aheberr@umich.edu', 'Tax Accountant');
insert into Registry (id, login, password, first_name, email, position) values (29, 'bhounshams', 'K8wlSMFB6sG', 'Bennie', 'bcundys@eepurl.com', 'Software Consultant');
insert into Registry (id, login, password, first_name, email, position) values (30, 'tverbeekt', '0daUL7LcJ', 'Tulley', 'tburgent@opera.com', 'Safety Technician IV');
insert into Registry (id, login, password, first_name, email, position) values (31, 'hgrimeu', '06hb39IUhS', 'Haroun', 'hlasselleu@livejournal.com', 'Actuary');
insert into Registry (id, login, password, first_name, email, position) values (32, 'fgallandv', 'OXaNaYgR', 'Florri', 'fwonforv@chicagotribune.com', 'VP Quality Control');
insert into Registry (id, login, password, first_name, email, position) values (33, 'keadingtonw', '8WAc1bUPr', 'Kelwin', 'kbristowew@businessinsider.com', 'Recruiter');
insert into Registry (id, login, password, first_name, email, position) values (34, 'ktaylotx', 'bjqABk', 'Konstanze', 'kedmonstonx@over-blog.com', 'Assistant Professor');
insert into Registry (id, login, password, first_name, email, position) values (35, 'sduplantiery', 'K9W0gpHB', 'Sarita', 'swalderay@upenn.edu', 'Teacher');
insert into Registry (id, login, password, first_name, email, position) values (36, 'vfranez', 'V56TDTwvm6o', 'Vaughan', 'vvallentinz@odnoklassniki.ru', 'VP Product Management');
